,year,date,air_temp_f,water_temp_f,wind_speed_mph,wind_dir,weather,location,time_caught,fish_type,fish_length_in,water_depth_ft,skunked,lines_in,lines_out,general_loc,duration_min,month,hour,time_caught_bucket
0,2015,2015-08-27,65.0,76.3,8,nw,sunny,north of lockes,6:20,salmon,18.0,20.0,False,6:20,9:00,lockes,160.0,8,6,"[5, 7)"
1,2015,2015-08-27,65.0,76.3,8,nw,sunny,north of lockes,7:00,rainbow,16.0,20.0,False,6:20,9:00,lockes,160.0,8,7,"[7, 9)"
2,2015,2015-08-27,65.0,76.3,8,nw,sunny,north of lockes,7:15,smallmouth,12.8,20.0,False,6:20,9:00,lockes,160.0,8,7,"[7, 9)"
3,2015,2015-08-27,65.0,76.3,8,nw,sunny,north of lockes,8:40,salmon,10.0,37.0,False,6:20,9:00,lockes,160.0,8,8,"[7, 9)"
4,2015,2015-08-28,65.0,76.3,8,nw,sunny,north of diamond,7:45,rainbow,16.0,43.0,False,7:15,10:30,diamond,195.0,8,7,"[7, 9)"
5,2015,2015-04-26,52.23529411764706,39.4,0,no_wind,windy,saunders bay,8:00,salmon,18.0,2.0,False,8:00,11:00,saunders bay,180.0,4,8,"[7, 9)"
6,2015,2015-04-26,52.23529411764706,39.4,0,no_wind,windy,saunders bay,8:15,salmon,19.0,2.0,False,8:00,11:00,saunders bay,180.0,4,8,"[7, 9)"
7,2015,2015-04-26,52.23529411764706,39.4,0,no_wind,windy,saunders bay,8:30,salmon,18.0,2.0,False,8:00,11:00,saunders bay,180.0,4,8,"[7, 9)"
8,2015,2015-04-27,52.23529411764706,40.3,0,no_wind,windy,east of little bear bay,7:00,salmon,17.26222222222222,21.5,False,7:00,11:30,little bear bay,270.0,4,7,"[7, 9)"
9,2015,2015-04-27,52.23529411764706,40.3,0,no_wind,windy,east of little bear bay,8:00,salmon,17.26222222222222,2.0,False,7:00,11:30,little bear bay,270.0,4,8,"[7, 9)"
10,2015,2015-04-27,52.23529411764706,40.3,0,no_wind,windy,east of little bear bay,9:00,salmon,17.26222222222222,2.0,False,7:00,11:30,little bear bay,270.0,4,9,"[9, 11)"
11,2015,2015-04-29,46.0,43.2,0,no_wind,sunny,little bear bay,6:30,salmon,19.0,2.0,False,6:30,12:20,little bear bay,350.0,4,6,"[5, 7)"
12,2015,2015-04-29,46.0,43.2,0,no_wind,sunny,little bear bay,7:45,salmon,17.26222222222222,33.0,False,6:30,12:20,little bear bay,350.0,4,7,"[7, 9)"
13,2015,2015-04-29,46.0,42.3,0,no_wind,sunny,harilla bay,8:50,salmon,18.0,38.0,False,6:30,12:20,harilla bay,350.0,4,8,"[7, 9)"
14,2015,2015-04-29,46.0,42.3,0,no_wind,sunny,harilla bay,9:10,salmon,18.0,48.0,False,6:30,12:20,harilla bay,350.0,4,9,"[9, 11)"
15,2015,2015-04-30,47.0,43.0,0,no_wind,sunny,harilla bay,8:25,salmon,18.0,39.0,False,6:10,8:25,harilla bay,135.0,4,8,"[7, 9)"
16,2015,2015-05-01,55.0,44.2,0,no_wind,sunny,saunders bay,no_time_recorded,no_fish_caught,0.0,0.0,True,16:30,18:15,saunders bay,105.0,5,0,
